immobilien.	3600	in	soa	v0n0.nic.immobilien. hostmaster.donuts.email. 1767661143 7200 900 1209600 3600
00800.immobilien.	3600	in	ns	ns.udag.de.
00800.immobilien.	3600	in	ns	ns.udag.net.
00800.immobilien.	3600	in	ns	ns.udag.org.
030.immobilien.	3600	in	ns	ns1042.ui-dns.biz.
030.immobilien.	3600	in	ns	ns1102.ui-dns.org.
030.immobilien.	3600	in	ns	ns1118.ui-dns.de.
030.immobilien.	3600	in	ns	ns1126.ui-dns.com.
040.immobilien.	3600	in	ns	ns1042.ui-dns.biz.
040.immobilien.	3600	in	ns	ns1102.ui-dns.org.
040.immobilien.	3600	in	ns	ns1118.ui-dns.de.
040.immobilien.	3600	in	ns	ns1126.ui-dns.com.
0511living.immobilien.	3600	in	ns	root-dns.netcup.net.
0511living.immobilien.	3600	in	ns	second-dns.netcup.net.
0511living.immobilien.	3600	in	ns	third-dns.netcup.net.
06101.immobilien.	3600	in	ns	ns.udag.de.
06101.immobilien.	3600	in	ns	ns.udag.net.
06101.immobilien.	3600	in	ns	ns.udag.org.
069.immobilien.	3600	in	ns	ns1042.ui-dns.biz.
069.immobilien.	3600	in	ns	ns1102.ui-dns.org.
069.immobilien.	3600	in	ns	ns1118.ui-dns.de.
069.immobilien.	3600	in	ns	ns1126.ui-dns.com.
07p5mrergn7brlk1g1lvde81qcff6fjq.immobilien.	3600	in	nsec3	1 1 0 73 0M7MMNI65G6P7PJKL4GPCAG9B5UV44T3 NS DS RRSIG
07p5mrergn7brlk1g1lvde81qcff6fjq.immobilien.	3600	in	rrsig	NSEC3 8 2 3600 20260122154436 20260101144436 17235 immobilien. PurxC9dxDiZ+8iGXA4eQjYFVVvywBCV1DJDwJ0jPd8MRgCSWPFmSkbRQfi4XoD+ZkSARsWNywxbc2IC4TL1DeEhCDtLmufDIMZAKkNkhgHX9r2Fr+mYqDBMBNmDDDGL1jc/HalmNRybhYT7/pqXIXV2wvNR4DJhPKHOxgB9js7Y=
089.immobilien.	3600	in	ns	dns1.registrar-servers.com.
089.immobilien.	3600	in	ns	dns2.registrar-servers.com.
089capital.immobilien.	3600	in	ns	ns.checkdomain.de.
089capital.immobilien.	3600	in	ns	ns2.checkdomain.de.
