dealer.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1769302758 900 1800 6048000 3600
1xbet.dealer.	3600	in	ns	ns1.dnsres.net.
1xbet.dealer.	3600	in	ns	ns2.dnsres.net.
1xbet.dealer.	3600	in	ns	ns3.dnsres.net.
247.dealer.	3600	in	ns	curitiba.ns.porkbun.com.
247.dealer.	3600	in	ns	fortaleza.ns.porkbun.com.
247.dealer.	3600	in	ns	maceio.ns.porkbun.com.
247.dealer.	3600	in	ns	salvador.ns.porkbun.com.
3m.dealer.	3600	in	ns	a.ns.3m.com.
3m.dealer.	3600	in	ns	b.ns.3m.com.
8xbet.dealer.	3600	in	ns	dns1.registrar-servers.com.
8xbet.dealer.	3600	in	ns	dns2.registrar-servers.com.
a.nic.dealer.	3600	in	a	194.169.218.138
a.nic.dealer.	3600	in	aaaa	2001:067c:13cc:0000:0000:0000:0001:0138
alarm.dealer.	3600	in	ns	ns1.markmonitor.com.
alarm.dealer.	3600	in	ns	ns2.markmonitor.com.
alarm.dealer.	3600	in	ns	ns3.markmonitor.com.
alarm.dealer.	3600	in	ns	ns4.markmonitor.com.
alarm.dealer.	3600	in	ns	ns5.markmonitor.com.
alexa.dealer.	3600	in	ns	nsgbr.comlaude.co.uk.
alexa.dealer.	3600	in	ns	nssui.comlaude.ch.
alexa.dealer.	3600	in	ns	nsusa.comlaude.net.
ally.dealer.	3600	in	ns	ns09.gcd-dns.com.
ally.dealer.	3600	in	ns	ns10.gcd-dns.com.
alpine.dealer.	3600	in	ns	anna.renault.fr.
alpine.dealer.	3600	in	ns	xenia.renault.fr.
amarr.dealer.	3600	in	ns	dns1.cscdns.net.
amarr.dealer.	3600	in	ns	dns2.cscdns.net.
amazon.dealer.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.dealer.	3600	in	ns	nssui.comlaude.ch.
amazon.dealer.	3600	in	ns	nsusa.comlaude.net.
apple.dealer.	3600	in	ns	a.ns.apple.com.
apple.dealer.	3600	in	ns	b.ns.apple.com.
apple.dealer.	3600	in	ns	c.ns.apple.com.
apple.dealer.	3600	in	ns	d.ns.apple.com.
autotrader.dealer.	3600	in	ns	edns3.ultradns.com.
autotrader.dealer.	3600	in	ns	edns3.ultradns.net.
autotrader.dealer.	3600	in	ns	ns52.ultradns2.com.
autotrader.dealer.	3600	in	ns	ns52.ultradns2.org.
aws.dealer.	3600	in	ns	nsgbr.comlaude.co.uk.
aws.dealer.	3600	in	ns	nssui.comlaude.ch.
aws.dealer.	3600	in	ns	nsusa.comlaude.net.
b.nic.dealer.	3600	in	a	185.24.64.138
b.nic.dealer.	3600	in	aaaa	2a04:2b00:13cc:0000:0000:0000:0001:0138
balanz.dealer.	3600	in	ns	ns1.pindns.com.
balanz.dealer.	3600	in	ns	ns2.pindns.com.
beats.dealer.	3600	in	ns	a.ns.apple.com.
beats.dealer.	3600	in	ns	b.ns.apple.com.
beats.dealer.	3600	in	ns	c.ns.apple.com.
beats.dealer.	3600	in	ns	d.ns.apple.com.
beone.dealer.	3600	in	ns	ns1.101domain.com.
beone.dealer.	3600	in	ns	ns2.101domain.com.
betonline.dealer.	3600	in	ns	dns1.idp365.net.
betonline.dealer.	3600	in	ns	dns2.idp365.net.
betonline.dealer.	3600	in	ns	dns3.idp365.net.
beyonce.dealer.	3600	in	ns	dns1.cscdns.net.
beyonce.dealer.	3600	in	ns	dns2.cscdns.net.
bilbasen.dealer.	3600	in	ns	dns01.dipcon.com.
bilbasen.dealer.	3600	in	ns	dns02.ports.se.
bilbasen.dealer.	3600	in	ns	dns03.ports.se.
bilbasen.dealer.	3600	in	ns	dns04.ports.net.
bitcoin.dealer.	3600	in	ns	pdns09.domaincontrol.com.
bitcoin.dealer.	3600	in	ns	pdns10.domaincontrol.com.
blum.dealer.	3600	in	ns	ns1.eurodns.com.
blum.dealer.	3600	in	ns	ns2.eurodns.com.
blum.dealer.	3600	in	ns	ns3.eurodns.com.
blum.dealer.	3600	in	ns	ns4.eurodns.com.
bmw.dealer.	3600	in	ns	ns1.brandshelter.com.
bmw.dealer.	3600	in	ns	ns2.brandshelter.de.
bmw.dealer.	3600	in	ns	ns3.brandshelter.info.
bmw.dealer.	3600	in	ns	ns4.brandshelter.net.
bmw.dealer.	3600	in	ns	ns5.brandshelter.us.
botnet.dealer.	3600	in	ns	meiling.ns.cloudflare.com.
botnet.dealer.	3600	in	ns	scott.ns.cloudflare.com.
bpmcars.dealer.	3600	in	ns	ns1.safebrands.fr.
bpmcars.dealer.	3600	in	ns	ns2.safebrands.eu.
bpmcars.dealer.	3600	in	ns	ns3.safebrands.com.
bpmcars.dealer.	3600	in	ns	ns4.safebrands.org.
bpmcars.dealer.	3600	in	ns	ns5.safebrands.tech.
braid.dealer.	3600	in	ns	dns1.cscdns.net.
braid.dealer.	3600	in	ns	dns2.cscdns.net.
bullion.dealer.	3600	in	ns	ns17.domaincontrol.com.
bullion.dealer.	3600	in	ns	ns18.domaincontrol.com.
c.nic.dealer.	3600	in	a	212.18.248.138
c.nic.dealer.	3600	in	aaaa	2a04:2b00:13ee:0000:0000:0000:0000:0138
candy.dealer.	3600	in	ns	dns1.safenames.com.
candy.dealer.	3600	in	ns	dns2.safenames.net.
candy.dealer.	3600	in	ns	dns3.safenames.org.
cantieredelpardo.dealer.	3600	in	ns	ns1.brandshelter.com.
cantieredelpardo.dealer.	3600	in	ns	ns2.brandshelter.de.
cantieredelpardo.dealer.	3600	in	ns	ns3.brandshelter.info.
cantieredelpardo.dealer.	3600	in	ns	ns4.brandshelter.net.
cantieredelpardo.dealer.	3600	in	ns	ns5.brandshelter.us.
cargigi.dealer.	3600	in	ns	ns1.markmonitor.com.
cargigi.dealer.	3600	in	ns	ns2.markmonitor.com.
carsforsale.dealer.	3600	in	ns	ns1.dns.inc.
carsforsale.dealer.	3600	in	ns	ns2.dns.inc.
carsforsale.dealer.	3600	in	ns	ns3.dns.inc.
carsforsale.dealer.	3600	in	ns	ns4.dns.inc.
carvana.dealer.	3600	in	ns	dns1.cscdns.net.
carvana.dealer.	3600	in	ns	dns2.cscdns.net.
cbd.dealer.	3600	in	ns	ns1.anony.nl.
cbd.dealer.	3600	in	ns	ns2.anony.nl.
cbd.dealer.	3600	in	ns	ns3.anony.eu.
chase.dealer.	3600	in	ns	ns05.jpmorganchase.com.
chase.dealer.	3600	in	ns	ns06.jpmorganchase.com.
chase.dealer.	3600	in	ns	ns1.jpmorganchase.com.
chase.dealer.	3600	in	ns	ns2.jpmorganchase.com.
chasebank.dealer.	3600	in	ns	ns05.jpmorganchase.com.
chasebank.dealer.	3600	in	ns	ns06.jpmorganchase.com.
chasebank.dealer.	3600	in	ns	ns1.jpmorganchase.com.
chasebank.dealer.	3600	in	ns	ns2.jpmorganchase.com.
chasecard.dealer.	3600	in	ns	ns05.jpmorganchase.com.
chasecard.dealer.	3600	in	ns	ns06.jpmorganchase.com.
chasecard.dealer.	3600	in	ns	ns1.jpmorganchase.com.
chasecard.dealer.	3600	in	ns	ns2.jpmorganchase.com.
chicago.dealer.	3600	in	ns	ns1.dns.inc.
chicago.dealer.	3600	in	ns	ns2.dns.inc.
chicago.dealer.	3600	in	ns	ns3.dns.inc.
chicago.dealer.	3600	in	ns	ns4.dns.inc.
control4.dealer.	3600	in	ns	ns1jsv.name.com.
control4.dealer.	3600	in	ns	ns2nsy.name.com.
control4.dealer.	3600	in	ns	ns3dty.name.com.
control4.dealer.	3600	in	ns	ns4cjp.name.com.
creditacceptance.dealer.	3600	in	ns	ns31.domaincontrol.com.
creditacceptance.dealer.	3600	in	ns	ns32.domaincontrol.com.
d.nic.dealer.	3600	in	a	212.18.249.138
d.nic.dealer.	3600	in	aaaa	2a04:2b00:13ff:0000:0000:0000:0000:0138
dacia.dealer.	3600	in	ns	anna.renault.fr.
dacia.dealer.	3600	in	ns	xenia.renault.fr.
daikin.dealer.	3600	in	ns	ns05.domaincontrol.com.
daikin.dealer.	3600	in	ns	ns06.domaincontrol.com.
dealer.	172800	in	ns	a.nic.dealer.
dealer.	172800	in	ns	b.nic.dealer.
dealer.	172800	in	ns	c.nic.dealer.
dealer.	172800	in	ns	d.nic.dealer.
dealer.	172800	in	rrsig	NS 8 1 172800 20260216085245 20260117072245 26325 dealer. MPLgNoLFBdAiVezao8Tp5L3rlcbPPCJfWejBXcTqepHeCZJlhrqq29t8SR4rWqSXFELHwOUGj2cYbmVwKrWqP9L1etGWCMhN7iGO5K6/euP9cyZSUQcDQxEE/oAoQMH4B8Vt0eX2kUapuhmZxswkNpCo5ejHFMbh1rwRxOruUj0=
dealer.	3600	in	dnskey	256 3 8 AwEAAZkQSaUjetP/pBSk/VkN/hsP7OTmK88eKy738f60MrXbDBQmCRG3GH/G/Ru0GfP0sLn3GRYsFAGnaR7eaoPbGvQRnHLQMO50Pl4KyzIW/lBkXWbiG7iDhJ8JRSelBt5BHTeTkU4OOSc/dxqRyOluZ+lHfEXbjo3QIBtXSIk2NFhP
dealer.	3600	in	dnskey	257 3 8 AwEAAc2bJLe4BfXrNKEgs2LB+/3DjVKBB5WM9yhTExOcXPUpr77g/61Da+4BVWbMTkXw0HLe221xlKM+ruUaR1B0GtEZHuNt7VLSp/Kgr1k9RnBCJWZP7HIUg2/BMzHSjulB2GO/UI0ygfcG+6ZWMxBTuEXm9aUHz4wObKfx4iN9rw8vH2FTkJmtr4w806j4SW9W2TblUzD4SvDNJss3yRZhRiJiW4a2I24L/ntGVVK5KXCwkyMB+tyhuqAm5C3AEQiSCBUtZeZlkaiM830XUhQU9mJHtVci5YYeQdYJPzBa27W9Du2wqELmzdMddcxWKOstKky1+PcjpIs7wzbrP6vKnQs=
dealer.	3600	in	rrsig	DNSKEY 8 1 3600 20260216085245 20260117072245 31235 dealer. LVGRBjKjgP/LM2lsllY3OWOGiTP0hSKN6SwJw1l+ZkeAHFBxTiWvG48oTIkZfaGzZaPPETK3ChNA1dw5c4WI0wmZKWFmBjgPxIDUU6D2o0J1Sq1qCGj+TpGp9CpDBzg6jVJcAXvyJpBgQoatGYuPwN0mz0sxsv940hxFjpqb2sgyC1hKftGTiQyOPJ/+tMmZ8W6mJRf95VtUgyl4g0OSZEVhVxEIGC/Ug3w8lLVIWoJW9N3hQ4fuicEnDczOBjyS7IC52XRkQT++D2rl9LWTPeZJg4tNvaURdGJMmV4jgaAd+g5XEkF9UJVdBrM/PGA39lRoIm31LCjT5gDeVgr0+A==
