plus.	3600	in	soa	v0n0.nic.plus. hostmaster.donuts.email. 1757639521 7200 900 1209600 3600
0-0.plus.	3600	in	ns	dns17.hichina.com.
0-0.plus.	3600	in	ns	dns18.hichina.com.
0.plus.	3600	in	ns	devin.ns.cloudflare.com.
0.plus.	3600	in	ns	georgia.ns.cloudflare.com.
00.plus.	3600	in	ns	ns1.myhostadmin.net.
00.plus.	3600	in	ns	ns2.myhostadmin.net.
00.plus.	3600	in	ns	ns3.myhostadmin.net.
00.plus.	3600	in	ns	ns4.myhostadmin.net.
00.plus.	3600	in	ns	ns5.myhostadmin.net.
00.plus.	3600	in	ns	ns6.myhostadmin.net.
000.plus.	3600	in	ns	dns15.hichina.com.
000.plus.	3600	in	ns	dns16.hichina.com.
0000.plus.	3600	in	ns	ns1.dns-redirect.com.
0000.plus.	3600	in	ns	ns2.dns-redirect.com.
00001.plus.	3600	in	ns	ns1.1233dns.com.
00001.plus.	3600	in	ns	ns2.951dns.com.
00009.plus.	3600	in	ns	ns1.domainnamedns.com.
00009.plus.	3600	in	ns	ns2.domainnamedns.com.
00052.plus.	3600	in	ns	ns1.dns.com.
00052.plus.	3600	in	ns	ns2.dns.com.
001.plus.	3600	in	ns	ns1-show.myhostadmin.net.
001.plus.	3600	in	ns	ns2-show.myhostadmin.net.
00159.plus.	3600	in	ns	ns1.dnsip.com.
00159.plus.	3600	in	ns	ns2.dnsip.com.
002051.plus.	3600	in	ns	ns1.1233dns.com.
002051.plus.	3600	in	ns	ns2.951dns.com.
002nabg5629oqotjt7628enl61p93d3a.plus.	3600	in	nsec3	1 1 0 73 005RH4OQ661FQJ9499CJ6LIFJAP5RM78 NS DS RRSIG
002nabg5629oqotjt7628enl61p93d3a.plus.	3600	in	rrsig	NSEC3 8 2 3600 20250930155513 20250909145513 41691 plus. akNTMzyEIB+EngZbfkjl2Otsdl96naSBh3RZ0Z1/vUK5/2nuaFQgpYJh9sb/n8yNa5/6PC/2K1L+D7pLyidJy4CdHoHf/90aHPQ5bOAKEYcNgaEsh9OrS/BKgITKiPg5HzxYgsNZNsItBSDtyaIsHeHjIwR7dmCRY9d42MpWx+Q=
00378.plus.	3600	in	ns	a.dnspod.com.
00378.plus.	3600	in	ns	b.dnspod.com.
00378.plus.	3600	in	ns	c.dnspod.com.
00397.plus.	3600	in	ns	ns1.dnsip.com.
00397.plus.	3600	in	ns	ns2.dnsip.com.
00470.plus.	3600	in	ns	ns1.1233dns.com.
00470.plus.	3600	in	ns	ns2.951dns.com.
00551.plus.	3600	in	ns	a.dnspod.com.
00551.plus.	3600	in	ns	b.dnspod.com.
00551.plus.	3600	in	ns	c.dnspod.com.
0055bet.plus.	3600	in	ns	ns1.dns-parking.com.
0055bet.plus.	3600	in	ns	ns2.dns-parking.com.
005rh4oq661fqj9499cj6lifjap5rm78.plus.	3600	in	nsec3	1 1 0 73 008L99I4NNO9UKLJ5FN4A3LMBRKUR92T NS DS RRSIG
005rh4oq661fqj9499cj6lifjap5rm78.plus.	3600	in	rrsig	NSEC3 8 2 3600 20250930155513 20250909145513 41691 plus. oMf1g2jP0YexsPuXTmDEDQK+NSXpqyKqKvXqrB9DoE+ZBCdQ1te45qZeu4+NDR55ojmeXxqr2jjDAvScHUR4dIXZvKfMUYqRbwLdEQZDDELBq7YvQa+OygDLbbE3uY95IfBVd0O2JBvGBYJNYGVOh6QWhMRBR4LxzBndVnozURQ=
00637.plus.	3600	in	ns	a2.share-dns.com.
00637.plus.	3600	in	ns	b2.share-dns.net.
006698.plus.	3600	in	ns	ns1.1233dns.com.
006698.plus.	3600	in	ns	ns2.951dns.com.
00686.plus.	3600	in	ns	n1.xundns.com.
00686.plus.	3600	in	ns	n2.xundns.com.
007.plus.	3600	in	ns	ns1.afternic.com.
007.plus.	3600	in	ns	ns2.afternic.com.
007.plus.	3600	in	ns	verification-mzmjchcj28oatbtwxzgpt5.ns101.verify.hn.
007win.plus.	3600	in	ns	ada.ns.cloudflare.com.
007win.plus.	3600	in	ns	curt.ns.cloudflare.com.
008299.plus.	3600	in	ns	ns1.1233dns.com.
008299.plus.	3600	in	ns	ns2.951dns.com.
00845.plus.	3600	in	ns	ns1.1233dns.com.
00845.plus.	3600	in	ns	ns2.951dns.com.
00852.plus.	3600	in	ns	cass.ns.cloudflare.com.
00852.plus.	3600	in	ns	elliott.ns.cloudflare.com.
0088.plus.	3600	in	ns	ns11.domaincontrol.com.
0088.plus.	3600	in	ns	ns12.domaincontrol.com.
00889.plus.	3600	in	ns	ns1.dnsowl.com.
00889.plus.	3600	in	ns	ns2.dnsowl.com.
00889.plus.	3600	in	ns	ns3.dnsowl.com.
008l99i4nno9uklj5fn4a3lmbrkur92t.plus.	3600	in	nsec3	1 1 0 73 00GP79ITID20LIA9JCIHITLSILQH4SR9 NS DS RRSIG
008l99i4nno9uklj5fn4a3lmbrkur92t.plus.	3600	in	rrsig	NSEC3 8 2 3600 20250930155513 20250909145513 41691 plus. OCfrmOq8xWYWi5ANqnRZM839fKStIYk05kkkj5RvE/17SvRssDDPQ1bHfDgcUN+7a93fdhYpW6Tv2x1naMRTy+WtX+QTvfm+sab2TfIricHEcujAUOuFjwd2xRosuNpF3e9WWF5jBQMEmQ4Vs9Iby4uduY14Y2LI0S/HYDxWLew=
009.plus.	3600	in	ns	chili.dnspod.net.
009.plus.	3600	in	ns	gemini.dnspod.net.
00903.plus.	3600	in	ns	ns1.1233dns.com.
00903.plus.	3600	in	ns	ns2.951dns.com.
00961.plus.	3600	in	ns	a.dnspod.com.
00961.plus.	3600	in	ns	b.dnspod.com.
00961.plus.	3600	in	ns	c.dnspod.com.
009bet.plus.	3600	in	ns	ns1.dns-redirect.com.
009bet.plus.	3600	in	ns	ns2.dns-redirect.com.
00gp79itid20lia9jcihitlsilqh4sr9.plus.	3600	in	nsec3	1 1 0 73 015MRK65NCRRFIS9TBEDH1QJILVL5MQD NS DS RRSIG
00gp79itid20lia9jcihitlsilqh4sr9.plus.	3600	in	rrsig	NSEC3 8 2 3600 20250930155513 20250909145513 41691 plus. wvXbMJCrWMtX5h/b/rB9jH/cJ6yzpTez6RNv7S8bhk5LiTH1m+OYA7ouBcWIK0dx1g+PV0V06ts31XXzndQb0FwMl8bntmM1mtzQR/7ItH+oGtT6cPk5mzDEyFuqnN/to4Li62c64LAz1ETqga9Egukc3QH3V5YpE3pJqeAhFSs=
01.plus.	3600	in	ns	achiel.ns.cloudflare.com.
01.plus.	3600	in	ns	jessica.ns.cloudflare.com.
01036.plus.	3600	in	ns	ns1.dnsip.com.
01036.plus.	3600	in	ns	ns2.dnsip.com.
01044.plus.	3600	in	ns	grannbo.ns.cloudflare.com.
01044.plus.	3600	in	ns	norm.ns.cloudflare.com.
01052.plus.	3600	in	ns	ns1.dyna-ns.net.
01052.plus.	3600	in	ns	ns2.dyna-ns.net.
01067.plus.	3600	in	ns	n1.xundns.com.
01067.plus.	3600	in	ns	n2.xundns.com.
01108.plus.	3600	in	ns	n1.xundns.com.
01108.plus.	3600	in	ns	n2.xundns.com.
01138.plus.	3600	in	ns	a.dnspod.com.
01138.plus.	3600	in	ns	b.dnspod.com.
01138.plus.	3600	in	ns	c.dnspod.com.
01172.plus.	3600	in	ns	ns1.dnsip.com.
01172.plus.	3600	in	ns	ns2.dnsip.com.
01175.plus.	3600	in	ns	ns1.1233dns.com.
01175.plus.	3600	in	ns	ns2.951dns.com.
01195.plus.	3600	in	ns	n1.xundns.com.
