pet.	3600	in	soa	a0.nic.pet. hostmaster.donuts.email. 1757034921 7200 900 1209600 3600
0000.pet.	3600	in	ns	ignacio.ns.cloudflare.com.
0000.pet.	3600	in	ns	nora.ns.cloudflare.com.
00000.pet.	3600	in	ns	ns1.pomdns.com.
00000.pet.	3600	in	ns	ns2.pomdns.com.
0001.pet.	3600	in	ns	dns13.hichina.com.
0001.pet.	3600	in	ns	dns14.hichina.com.
00010.pet.	3600	in	ns	ns1.dnsip.com.
00010.pet.	3600	in	ns	ns2.dnsip.com.
000646.pet.	3600	in	ns	ns1.1233dns.com.
000646.pet.	3600	in	ns	ns2.951dns.com.
00136.pet.	3600	in	ns	ns1.dnsip.com.
00136.pet.	3600	in	ns	ns2.dnsip.com.
00352.pet.	3600	in	ns	n1.xundns.com.
00352.pet.	3600	in	ns	n2.xundns.com.
00397.pet.	3600	in	ns	ns1.dnsip.com.
00397.pet.	3600	in	ns	ns2.dnsip.com.
00427.pet.	3600	in	ns	n1.xundns.com.
00427.pet.	3600	in	ns	n2.xundns.com.
00429.pet.	3600	in	ns	ns1.dyna-ns.net.
00429.pet.	3600	in	ns	ns2.dyna-ns.net.
00435.pet.	3600	in	ns	ns1.dnsip.com.
00435.pet.	3600	in	ns	ns2.dnsip.com.
00445.pet.	3600	in	ns	ns1.dnsip.com.
00445.pet.	3600	in	ns	ns2.dnsip.com.
00508.pet.	3600	in	ns	ns1.dnsip.com.
00508.pet.	3600	in	ns	ns2.dnsip.com.
00573.pet.	3600	in	ns	ns1.dyna-ns.net.
00573.pet.	3600	in	ns	ns2.dyna-ns.net.
00603.pet.	3600	in	ns	ns1.dnsip.com.
00603.pet.	3600	in	ns	ns2.dnsip.com.
00668.pet.	3600	in	ns	ns1.dnsip.com.
00668.pet.	3600	in	ns	ns2.dnsip.com.
00686.pet.	3600	in	ns	ns1.dyna-ns.net.
00686.pet.	3600	in	ns	ns2.dyna-ns.net.
00720.pet.	3600	in	ns	ns1.dyna-ns.net.
00720.pet.	3600	in	ns	ns2.dyna-ns.net.
00777.pet.	3600	in	ns	n1.xundns.com.
00777.pet.	3600	in	ns	n2.xundns.com.
00935.pet.	3600	in	ns	ns1.dns.com.
00935.pet.	3600	in	ns	ns2.dns.com.
00953.pet.	3600	in	ns	ns1.dnsip.com.
00953.pet.	3600	in	ns	ns2.dnsip.com.
01.pet.	3600	in	ns	ns1.myhostadmin.net.
01.pet.	3600	in	ns	ns2.myhostadmin.net.
01.pet.	3600	in	ns	ns3.myhostadmin.net.
01.pet.	3600	in	ns	ns4.myhostadmin.net.
01.pet.	3600	in	ns	ns5.myhostadmin.net.
01.pet.	3600	in	ns	ns6.myhostadmin.net.
01035.pet.	3600	in	ns	n1.xundns.com.
01035.pet.	3600	in	ns	n2.xundns.com.
01061.pet.	3600	in	ns	ns1.dnsip.com.
01061.pet.	3600	in	ns	ns2.dnsip.com.
01070.pet.	3600	in	ns	ns1.dnsip.com.
01070.pet.	3600	in	ns	ns2.dnsip.com.
01087.pet.	3600	in	ns	n1.xundns.com.
01087.pet.	3600	in	ns	n2.xundns.com.
01185.pet.	3600	in	ns	dom.ns.cloudflare.com.
01185.pet.	3600	in	ns	fatima.ns.cloudflare.com.
01244.pet.	3600	in	ns	ns1.dnsip.com.
01244.pet.	3600	in	ns	ns2.dnsip.com.
01258.pet.	3600	in	ns	elma.ns.cloudflare.com.
01258.pet.	3600	in	ns	todd.ns.cloudflare.com.
01358.pet.	3600	in	ns	ns1.dnsip.com.
01358.pet.	3600	in	ns	ns2.dnsip.com.
01380.pet.	3600	in	ns	ns1.dyna-ns.net.
01380.pet.	3600	in	ns	ns2.dyna-ns.net.
01396.pet.	3600	in	ns	boyd.ns.cloudflare.com.
01396.pet.	3600	in	ns	sara.ns.cloudflare.com.
013kcfcbf54v9he885lrdtmaa6s33i0r.pet.	3600	in	nsec3	1 1 0 73 01EKVVM4NI0H8FINFV87BHCHDVLUUVCA NS DS RRSIG
