lgbt.	3600	in	soa	a0.nic.lgbt. hostmaster.donuts.email. 1759367384 7200 900 1209600 3600
00003.lgbt.	3600	in	ns	n1.xundns.com.
00003.lgbt.	3600	in	ns	n2.xundns.com.
00025.lgbt.	3600	in	ns	ns7.alidns.com.
00025.lgbt.	3600	in	ns	ns8.alidns.com.
00026.lgbt.	3600	in	ns	n1.xundns.com.
00026.lgbt.	3600	in	ns	n2.xundns.com.
00043.lgbt.	3600	in	ns	ns1.dnsip.com.
00043.lgbt.	3600	in	ns	ns2.dnsip.com.
00077.lgbt.	3600	in	ns	ns1.dnsip.com.
00077.lgbt.	3600	in	ns	ns2.dnsip.com.
00083.lgbt.	3600	in	ns	a.dnspod.com.
00083.lgbt.	3600	in	ns	b.dnspod.com.
00083.lgbt.	3600	in	ns	c.dnspod.com.
00085.lgbt.	3600	in	ns	n1.xundns.com.
00085.lgbt.	3600	in	ns	n2.xundns.com.
000924.lgbt.	3600	in	ns	ns1.1233dns.com.
000924.lgbt.	3600	in	ns	ns2.951dns.com.
00102.lgbt.	3600	in	ns	ns7.alidns.com.
00102.lgbt.	3600	in	ns	ns8.alidns.com.
00111.lgbt.	3600	in	ns	n1.xundns.com.
00111.lgbt.	3600	in	ns	n2.xundns.com.
001153.lgbt.	3600	in	ns	ns1.1233dns.com.
001153.lgbt.	3600	in	ns	ns2.951dns.com.
00118.lgbt.	3600	in	ns	n1.xundns.com.
00118.lgbt.	3600	in	ns	n2.xundns.com.
00120.lgbt.	3600	in	ns	ns1.dnsip.com.
00120.lgbt.	3600	in	ns	ns2.dnsip.com.
00125.lgbt.	3600	in	ns	ns1.dns.com.
00125.lgbt.	3600	in	ns	ns2.dns.com.
001308.lgbt.	3600	in	ns	ns1.dns.com.
001308.lgbt.	3600	in	ns	ns2.dns.com.
00135.lgbt.	3600	in	ns	n1.xundns.com.
00135.lgbt.	3600	in	ns	n2.xundns.com.
00152.lgbt.	3600	in	ns	a.dnspod.com.
00152.lgbt.	3600	in	ns	b.dnspod.com.
00152.lgbt.	3600	in	ns	c.dnspod.com.
00155.lgbt.	3600	in	ns	ns1.dnsip.com.
00155.lgbt.	3600	in	ns	ns2.dnsip.com.
00157.lgbt.	3600	in	ns	ns1.dnsip.com.
00157.lgbt.	3600	in	ns	ns2.dnsip.com.
00173.lgbt.	3600	in	ns	ns1.dyna-ns.net.
00173.lgbt.	3600	in	ns	ns2.dyna-ns.net.
00180.lgbt.	3600	in	ns	n1.xundns.com.
00180.lgbt.	3600	in	ns	n2.xundns.com.
00208.lgbt.	3600	in	ns	ns1.dnsip.com.
00208.lgbt.	3600	in	ns	ns2.dnsip.com.
00210.lgbt.	3600	in	ns	ns1.dnsip.com.
00210.lgbt.	3600	in	ns	ns2.dnsip.com.
00220.lgbt.	3600	in	ns	grannbo.ns.cloudflare.com.
00220.lgbt.	3600	in	ns	norm.ns.cloudflare.com.
00247.lgbt.	3600	in	ns	n1.xundns.com.
00247.lgbt.	3600	in	ns	n2.xundns.com.
00280.lgbt.	3600	in	ns	n1.xundns.com.
00280.lgbt.	3600	in	ns	n2.xundns.com.
00291.lgbt.	3600	in	ns	ns1.dnsip.com.
00291.lgbt.	3600	in	ns	ns2.dnsip.com.
002911.lgbt.	3600	in	ns	n1.xundns.com.
002911.lgbt.	3600	in	ns	n2.xundns.com.
00293.lgbt.	3600	in	ns	n1.xundns.com.
00293.lgbt.	3600	in	ns	n2.xundns.com.
003029.lgbt.	3600	in	ns	ns7.alidns.com.
003029.lgbt.	3600	in	ns	ns8.alidns.com.
0033.lgbt.	3600	in	ns	dolly.ns.cloudflare.com.
0033.lgbt.	3600	in	ns	oswald.ns.cloudflare.com.
00330.lgbt.	3600	in	ns	n1.xundns.com.
00330.lgbt.	3600	in	ns	n2.xundns.com.
00336.lgbt.	3600	in	ns	n1.xundns.com.
00336.lgbt.	3600	in	ns	n2.xundns.com.
