academy.	3600	in	soa	v0n0.nic.academy. hostmaster.donuts.email. 1757033522 7200 900 1209600 3600
0-0.academy.	3600	in	ns	ns07.domaincontrol.com.
0-0.academy.	3600	in	ns	ns08.domaincontrol.com.
0-100.academy.	3600	in	ns	carlos.ns.cloudflare.com.
0-100.academy.	3600	in	ns	diana.ns.cloudflare.com.
000.academy.	3600	in	ns	dns1.registrar-servers.com.
000.academy.	3600	in	ns	dns2.registrar-servers.com.
0000.academy.	3600	in	ns	n1.xundns.com.
0000.academy.	3600	in	ns	n2.xundns.com.
00000.academy.	3600	in	ns	a.dnspod.com.
00000.academy.	3600	in	ns	b.dnspod.com.
00000.academy.	3600	in	ns	c.dnspod.com.
00006.academy.	3600	in	ns	n1.xundns.com.
00006.academy.	3600	in	ns	n2.xundns.com.
00013.academy.	3600	in	ns	n1.xundns.com.
00013.academy.	3600	in	ns	n2.xundns.com.
00079.academy.	3600	in	ns	ns7.alidns.com.
00079.academy.	3600	in	ns	ns8.alidns.com.
00097.academy.	3600	in	ns	n1.xundns.com.
00097.academy.	3600	in	ns	n2.xundns.com.
001.academy.	3600	in	ns	docks03.rzone.de.
001.academy.	3600	in	ns	shades06.rzone.de.
00114.academy.	3600	in	ns	n1.xundns.com.
00114.academy.	3600	in	ns	n2.xundns.com.
00117.academy.	3600	in	ns	a.dnspod.com.
00117.academy.	3600	in	ns	b.dnspod.com.
00117.academy.	3600	in	ns	c.dnspod.com.
001198.academy.	3600	in	ns	n1.xundns.com.
001198.academy.	3600	in	ns	n2.xundns.com.
00130.academy.	3600	in	ns	n1.xundns.com.
00130.academy.	3600	in	ns	n2.xundns.com.
00131.academy.	3600	in	ns	ns1.dnsip.com.
00131.academy.	3600	in	ns	ns2.dnsip.com.
00132.academy.	3600	in	ns	ns1.dnsip.com.
00132.academy.	3600	in	ns	ns2.dnsip.com.
00178.academy.	3600	in	ns	n1.xundns.com.
00178.academy.	3600	in	ns	n2.xundns.com.
00203.academy.	3600	in	ns	ns1.dns.com.
00203.academy.	3600	in	ns	ns2.dns.com.
00220.academy.	3600	in	ns	ns1.dnsip.com.
00220.academy.	3600	in	ns	ns2.dnsip.com.
00242.academy.	3600	in	ns	ns1.1233dns.com.
00242.academy.	3600	in	ns	ns2.951dns.com.
00258.academy.	3600	in	ns	ns1.dnsip.com.
00258.academy.	3600	in	ns	ns2.dnsip.com.
00271.academy.	3600	in	ns	n1.xundns.com.
00271.academy.	3600	in	ns	n2.xundns.com.
00286.academy.	3600	in	ns	ns1.dnsip.com.
00286.academy.	3600	in	ns	ns2.dnsip.com.
002860.academy.	3600	in	ns	ns1.1233dns.com.
