academy.	3600	in	soa	v0n0.nic.academy. hostmaster.donuts.email. 1767661071 7200 900 1209600 3600
0-0.academy.	3600	in	ns	ns07.domaincontrol.com.
0-0.academy.	3600	in	ns	ns08.domaincontrol.com.
0-100.academy.	3600	in	ns	carlos.ns.cloudflare.com.
0-100.academy.	3600	in	ns	diana.ns.cloudflare.com.
000.academy.	3600	in	ns	dns1.registrar-servers.com.
000.academy.	3600	in	ns	dns2.registrar-servers.com.
00000.academy.	3600	in	ns	ns1.dns-redirect.com.
00000.academy.	3600	in	ns	ns2.dns-redirect.com.
00006.academy.	3600	in	ns	n1.xundns.com.
00006.academy.	3600	in	ns	n2.xundns.com.
00013.academy.	3600	in	ns	n1.xundns.com.
00013.academy.	3600	in	ns	n2.xundns.com.
00097.academy.	3600	in	ns	n1.xundns.com.
00097.academy.	3600	in	ns	n2.xundns.com.
001.academy.	3600	in	ns	docks03.rzone.de.
001.academy.	3600	in	ns	shades06.rzone.de.
00114.academy.	3600	in	ns	ns1.dyna-ns.net.
00114.academy.	3600	in	ns	ns2.dyna-ns.net.
001198.academy.	3600	in	ns	n1.xundns.com.
001198.academy.	3600	in	ns	n2.xundns.com.
00130.academy.	3600	in	ns	n1.xundns.com.
00130.academy.	3600	in	ns	n2.xundns.com.
00131.academy.	3600	in	ns	ns1.dnsip.com.
00131.academy.	3600	in	ns	ns2.dnsip.com.
00132.academy.	3600	in	ns	ns1.dnsip.com.
00132.academy.	3600	in	ns	ns2.dnsip.com.
00178.academy.	3600	in	ns	n1.xundns.com.
00178.academy.	3600	in	ns	n2.xundns.com.
00220.academy.	3600	in	ns	ns1.dnsip.com.
00220.academy.	3600	in	ns	ns2.dnsip.com.
00242.academy.	3600	in	ns	ns1.dyna-ns.net.
00242.academy.	3600	in	ns	ns2.dyna-ns.net.
00258.academy.	3600	in	ns	ns1.dnsip.com.
00258.academy.	3600	in	ns	ns2.dnsip.com.
00286.academy.	3600	in	ns	ns1.dnsip.com.
00286.academy.	3600	in	ns	ns2.dnsip.com.
002860.academy.	3600	in	ns	ns1.dyna-ns.net.
002860.academy.	3600	in	ns	ns2.dyna-ns.net.
0034.academy.	3600	in	ns	docks09.rzone.de.
0034.academy.	3600	in	ns	shades04.rzone.de.
00351.academy.	3600	in	ns	ns1.dns.com.
00351.academy.	3600	in	ns	ns2.dns.com.
00377.academy.	3600	in	ns	ns1.dnsip.com.
00377.academy.	3600	in	ns	ns2.dnsip.com.
00429.academy.	3600	in	ns	ns1.dyna-ns.net.
00429.academy.	3600	in	ns	ns2.dyna-ns.net.
00487.academy.	3600	in	ns	ns1.dns.com.
