srl.	3600	in	soa	a0.nic.srl. hostmaster.donuts.email. 1769303702 7200 900 1209600 3600
0.srl.	3600	in	ns	curitiba.ns.porkbun.com.
0.srl.	3600	in	ns	fortaleza.ns.porkbun.com.
0.srl.	3600	in	ns	maceio.ns.porkbun.com.
0.srl.	3600	in	ns	salvador.ns.porkbun.com.
007.srl.	3600	in	ns	ns1.register.it.
007.srl.	3600	in	ns	ns2.register.it.
01.srl.	3600	in	ns	x.ns.joker.com.
01.srl.	3600	in	ns	y.ns.joker.com.
01.srl.	3600	in	ns	z.ns.joker.com.
01usa.srl.	3600	in	ns	ns1031.ui-dns.de.
01usa.srl.	3600	in	ns	ns1049.ui-dns.com.
01usa.srl.	3600	in	ns	ns1094.ui-dns.biz.
01usa.srl.	3600	in	ns	ns1126.ui-dns.org.
02591.srl.	3600	in	ns	a.dnspod.com.
02591.srl.	3600	in	ns	b.dnspod.com.
02591.srl.	3600	in	ns	c.dnspod.com.
087.srl.	3600	in	ns	dns200.anycast.me.
087.srl.	3600	in	ns	ns200.anycast.me.
09ft480ga5380rc2j6rqmgap693h5cn4.srl.	3600	in	nsec3	1 1 0 73 0L9P80T2SP6JNC3SMHG9IBU6Q5PKSBHG NS DS RRSIG
09ft480ga5380rc2j6rqmgap693h5cn4.srl.	3600	in	rrsig	NSEC3 8 2 3600 20260207160115 20260117150115 48531 srl. Cs5zzKq2xmntiI1ahBAQII46AOepLNKN2ZJzazfnn9hGc3bgqTfvwOK28bGxZ+uGLXstOOL6D4yaZdaG7Nplfqp30j9XeFWRqwnrhDxpmhbPsh3d54FBhEZQfO8FbMAqQdACjWiSjS3wYanHJyN1ey2Skj2t1CV0+zkXXkBq8II=
0cbd.srl.	3600	in	ns	ns1028.ui-dns.com.
0cbd.srl.	3600	in	ns	ns1048.ui-dns.org.
0cbd.srl.	3600	in	ns	ns1059.ui-dns.de.
0cbd.srl.	3600	in	ns	ns1080.ui-dns.biz.
0l9p80t2sp6jnc3smhg9ibu6q5pksbhg.srl.	3600	in	nsec3	1 1 0 73 0O0H0AM50NL4GQU6TFLP1HHKPCT2NA72 NS DS RRSIG
0l9p80t2sp6jnc3smhg9ibu6q5pksbhg.srl.	3600	in	rrsig	NSEC3 8 2 3600 20260207160115 20260117150115 48531 srl. kJ/M7DY+bDys8Ni1q+Dfmqg+W+5NzztUhrAH2/Hmfv/NF49IiRCAjjCxxsPtEN4P0viFNHONmyIEOXYl53G7y2CF5gLX5o9n4HO7POIeIfxjPJ0jTZ4yYlP+o+ypuw0DmnJfxvhoEU6+8JgFSHron8l4YPgersPxHuP3WhaorrM=
0o0h0am50nl4gqu6tflp1hhkpct2na72.srl.	3600	in	nsec3	1 1 0 73 137M69Q3DCN76UFNN3EMRNVDGRPGKJS1 NS DS RRSIG
