tax.	3600	in	soa	v0n0.nic.tax. hostmaster.donuts.email. 1756257721 7200 900 1209600 3600
0.tax.	3600	in	ns	dns1.registrar-servers.com.
0.tax.	3600	in	ns	dns2.registrar-servers.com.
000.tax.	3600	in	ns	ns1.dns-redirect.com.
000.tax.	3600	in	ns	ns2.dns-redirect.com.
001.tax.	3600	in	ns	evelyn.dnspod.net.
001.tax.	3600	in	ns	sphere.dnspod.net.
00283.tax.	3600	in	ns	ns1.dns.com.
00283.tax.	3600	in	ns	ns2.dns.com.
00360.tax.	3600	in	ns	ns1.1233dns.com.
00360.tax.	3600	in	ns	ns2.951dns.com.
00637.tax.	3600	in	ns	ns1.dnsip.com.
00637.tax.	3600	in	ns	ns2.dnsip.com.
00645.tax.	3600	in	ns	ns1.dyna-ns.net.
00645.tax.	3600	in	ns	ns2.dyna-ns.net.
00665.tax.	3600	in	ns	n1.xundns.com.
00665.tax.	3600	in	ns	n2.xundns.com.
00676.tax.	3600	in	ns	n1.xundns.com.
00676.tax.	3600	in	ns	n2.xundns.com.
007.tax.	3600	in	ns	cormorant.dnspod.net.
007.tax.	3600	in	ns	cow.dnspod.net.
00738.tax.	3600	in	ns	ns1.1233dns.com.
00738.tax.	3600	in	ns	ns2.951dns.com.
00835.tax.	3600	in	ns	ns1.dnsip.com.
00835.tax.	3600	in	ns	ns2.dnsip.com.
00854.tax.	3600	in	ns	ns1.dyna-ns.net.
00854.tax.	3600	in	ns	ns2.dyna-ns.net.
00923.tax.	3600	in	ns	ns1.dyna-ns.net.
00923.tax.	3600	in	ns	ns2.dyna-ns.net.
00980.tax.	3600	in	ns	n1.xundns.com.
00980.tax.	3600	in	ns	n2.xundns.com.
00aa4oainh3kcr0oqtibdffkpg53p4gd.tax.	3600	in	nsec3	1 1 0 73 014VRKHH8V4C088BP6LC3564PE47T318 NS DS RRSIG
00aa4oainh3kcr0oqtibdffkpg53p4gd.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250916160544 20250826150544 38568 tax. Fvg3XiqB4jiYB3MiLzda6rvsfFZV+gr0c04uvnFfwLr8eFCCtisoW+uQFBWEr7qLvK/ilWjgvUqW7/24wHeqS0py7cJbYRK4xi1qUCplXbI2bmXRqpt/yCJSA68ZxyJJmg7oW6a0ReBVnpc1fTrFz9eXnV/6BhvfHNAPUZFAXQA=
00g.tax.	3600	in	ns	brit.ns.cloudflare.com.
00g.tax.	3600	in	ns	logan.ns.cloudflare.com.
00gtron.tax.	3600	in	ns	brit.ns.cloudflare.com.
00gtron.tax.	3600	in	ns	logan.ns.cloudflare.com.
00h.tax.	3600	in	ns	brit.ns.cloudflare.com.
00h.tax.	3600	in	ns	logan.ns.cloudflare.com.
01051.tax.	3600	in	ns	ns1.dyna-ns.net.
01051.tax.	3600	in	ns	ns2.dyna-ns.net.
01212.tax.	3600	in	ns	ns1.dnsip.com.
01212.tax.	3600	in	ns	ns2.dnsip.com.
01279.tax.	3600	in	ns	ns1.dnsip.com.
01279.tax.	3600	in	ns	ns2.dnsip.com.
01329.tax.	3600	in	ns	ns1.dyna-ns.net.
01329.tax.	3600	in	ns	ns2.dyna-ns.net.
014vrkhh8v4c088bp6lc3564pe47t318.tax.	3600	in	nsec3	1 1 0 73 02RRS7HUFCS8JV4N75C0F862J953NRP2 NS DS RRSIG
014vrkhh8v4c088bp6lc3564pe47t318.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250916160544 20250826150544 38568 tax. PlnC2Mtj7KYgFSyd8PQcn0bqX2w/XH1cSEkqxw/tcLOxOxQcD4LGgYmOzLSpaO/tsZlnUKKCYrhGYD5W0AKyNPj5yZ7hSMlr4y9YPR5OeLNjUVec+cI1ENSxon/bOISc/MEw8qtXE7DxGrN4cNAi3E35/VhRTlOHnaFKZoh5q2o=
01597.tax.	3600	in	ns	ns1.dyna-ns.net.
01597.tax.	3600	in	ns	ns2.dyna-ns.net.
016.tax.	3600	in	ns	ns1.dyna-ns.net.
016.tax.	3600	in	ns	ns2.dyna-ns.net.
01614.tax.	3600	in	ns	n1.xundns.com.
01614.tax.	3600	in	ns	n2.xundns.com.
01673.tax.	3600	in	ns	ns1.dnsip.com.
01673.tax.	3600	in	ns	ns2.dnsip.com.
01694.tax.	3600	in	ns	ns1.dnsip.com.
01694.tax.	3600	in	ns	ns2.dnsip.com.
01819.tax.	3600	in	ns	ns1.1233dns.com.
01819.tax.	3600	in	ns	ns2.951dns.com.
01919.tax.	3600	in	ns	ns1.dnsip.com.
01919.tax.	3600	in	ns	ns2.dnsip.com.
02030.tax.	3600	in	ns	ns1.dnsip.com.
02030.tax.	3600	in	ns	ns2.dnsip.com.
02098.tax.	3600	in	ns	n1.xundns.com.
02098.tax.	3600	in	ns	n2.xundns.com.
02237.tax.	3600	in	ns	ns1.dnsip.com.
02237.tax.	3600	in	ns	ns2.dnsip.com.
02463.tax.	3600	in	ns	ns1.dnsip.com.
02463.tax.	3600	in	ns	ns2.dnsip.com.
02520.tax.	3600	in	ns	n1.xundns.com.
02520.tax.	3600	in	ns	n2.xundns.com.
02522.tax.	3600	in	ns	ns1.dyna-ns.net.
02522.tax.	3600	in	ns	ns2.dyna-ns.net.
02539.tax.	3600	in	ns	n1.xundns.com.
02539.tax.	3600	in	ns	n2.xundns.com.
02906.tax.	3600	in	ns	n1.xundns.com.
02906.tax.	3600	in	ns	n2.xundns.com.
02979.tax.	3600	in	ns	ns1.dns.com.
02979.tax.	3600	in	ns	ns2.dns.com.
02984.tax.	3600	in	ns	n1.xundns.com.
02984.tax.	3600	in	ns	n2.xundns.com.
02rrs7hufcs8jv4n75c0f862j953nrp2.tax.	3600	in	nsec3	1 1 0 73 042Q4DN4O472GDQ5B2T3A17MTNTE0TJK NS DS RRSIG
02rrs7hufcs8jv4n75c0f862j953nrp2.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250916160544 20250826150544 38568 tax. DOyd3C1sC6XOySdhWz9Jvvj+2uAvLsqDFZuCkdQ5ambxXy7lXBGWIJBP3uF4KG8JKQjtzd93uA4oiTpLxk0RM2B0mqfha3dVllBuZhMyIEyKUpxxKPzAkOVb+zm324Ap3Ps+6Nx3VZuo4PmLe2ls21gSap85jIofu5YLjIKQWN0=
03010.tax.	3600	in	ns	ns1.dnsip.com.
03010.tax.	3600	in	ns	ns2.dnsip.com.
03048.tax.	3600	in	ns	ns1.dyna-ns.net.
03048.tax.	3600	in	ns	ns2.dyna-ns.net.
03201.tax.	3600	in	ns	ns1.dyna-ns.net.
03201.tax.	3600	in	ns	ns2.dyna-ns.net.
03202.tax.	3600	in	ns	ns1.dyna-ns.net.
03202.tax.	3600	in	ns	ns2.dyna-ns.net.
03203.tax.	3600	in	ns	ns1.dyna-ns.net.
03203.tax.	3600	in	ns	ns2.dyna-ns.net.
03204.tax.	3600	in	ns	ns1.dyna-ns.net.
03204.tax.	3600	in	ns	ns2.dyna-ns.net.
03205.tax.	3600	in	ns	ns1.dyna-ns.net.
03205.tax.	3600	in	ns	ns2.dyna-ns.net.
03230.tax.	3600	in	ns	ns1.dns.com.
03230.tax.	3600	in	ns	ns2.dns.com.
03259.tax.	3600	in	ns	n1.xundns.com.
03259.tax.	3600	in	ns	n2.xundns.com.
03284.tax.	3600	in	ns	ns1.dnsip.com.
03284.tax.	3600	in	ns	ns2.dnsip.com.
03329.tax.	3600	in	ns	ns1.dnsip.com.
03329.tax.	3600	in	ns	ns2.dnsip.com.
03481.tax.	3600	in	ns	n1.xundns.com.
03481.tax.	3600	in	ns	n2.xundns.com.
03532.tax.	3600	in	ns	ns1.dyna-ns.net.
03532.tax.	3600	in	ns	ns2.dyna-ns.net.
03727.tax.	3600	in	ns	ns1.dnsip.com.
03727.tax.	3600	in	ns	ns2.dnsip.com.
