team.	3600	in	soa	v0n0.nic.team. hostmaster.donuts.email. 1767662404 7200 900 1209600 3600
0--1.team.	3600	in	ns	ns57.domaincontrol.com.
0--1.team.	3600	in	ns	ns58.domaincontrol.com.
0-1.team.	3600	in	ns	ns11.xincache.com.
0-1.team.	3600	in	ns	ns12.xincache.com.
0.team.	3600	in	ds	50956 8 2 96A32A20056CE80E03EB74991574503CE5A97B8FFBFBBF628030040FC0105772
0.team.	3600	in	ns	ns-cloud-e1.googledomains.com.
0.team.	3600	in	ns	ns-cloud-e2.googledomains.com.
0.team.	3600	in	ns	ns-cloud-e3.googledomains.com.
0.team.	3600	in	ns	ns-cloud-e4.googledomains.com.
0.team.	3600	in	rrsig	DS 8 2 3600 20260122161235 20260101151235 33078 team. r8i1+zPg4YqOZcDbyQhWc1yRIkPe74KcWDeFO0LmrbMQHNBMtQCK56Bkb/Zt9VfhnHrO1MxnteqSt2zsWMpQLgFYhWlgdeEtuyKvw7iYVY5gUw8tBeVbNaGpHTYp7EWRrfXvtp5QQ5ydvBIL6fEJMpeK/yhlYrmTnToNZkNvE5Y=
00.team.	3600	in	ds	26672 8 2 85DCD5EBDEC5EF1C3D51FF709BB53C48E5D417256941BCE16EE923CBA9D3A596
00.team.	3600	in	ns	ns-cloud-a1.googledomains.com.
00.team.	3600	in	ns	ns-cloud-a2.googledomains.com.
00.team.	3600	in	ns	ns-cloud-a3.googledomains.com.
00.team.	3600	in	ns	ns-cloud-a4.googledomains.com.
00.team.	3600	in	rrsig	DS 8 2 3600 20260122161235 20260101151235 33078 team. d/t9EqWZ0Qv1V1828ux2lxJWx7tJjUxmVwR1yO/+Gx4cIgLdyZFfMENDaBp9fS6h5brqFWXyC82jj5XOw8rIVipTRH9fLM1EAOwcXwzEWF824kseEpSKadlRdeVGe2T2++X7DzhcY5S8su2ZbWraYvdhbpW6QLHBYWOQN0ZI8Bg=
000.team.	3600	in	ns	david.dnspod.net.
000.team.	3600	in	ns	gregary.dnspod.net.
0000.team.	3600	in	ns	fattouche.ns.cloudflare.com.
0000.team.	3600	in	ns	kenia.ns.cloudflare.com.
0001.team.	3600	in	ns	cycling.dnspod.net.
0001.team.	3600	in	ns	venus.dnspod.net.
001.team.	3600	in	ns	ns1.afternic.com.
001.team.	3600	in	ns	ns2.afternic.com.
0049.team.	3600	in	ns	docks07.rzone.de.
0049.team.	3600	in	ns	shades15.rzone.de.
007.team.	3600	in	ns	ns1.afternic.com.
007.team.	3600	in	ns	ns2.afternic.com.
007.team.	3600	in	ns	verification-g8nwd62kj7zf8ncceqa5pj.ns101.verify.hn.
008.team.	3600	in	ns	audrey.ns.cloudflare.com.
008.team.	3600	in	ns	casey.ns.cloudflare.com.
00852.team.	3600	in	ns	cass.ns.cloudflare.com.
00852.team.	3600	in	ns	elliott.ns.cloudflare.com.
00nnh0vammh1v2v8qj7f6hakfnjil5m4.team.	3600	in	nsec3	1 1 0 73 013G40FF7DD45SE9PPA8MQEHUL5JHF1D NS DS RRSIG
00nnh0vammh1v2v8qj7f6hakfnjil5m4.team.	3600	in	rrsig	NSEC3 8 2 3600 20260122161235 20260101151235 33078 team. QmqSa85Lse4v20tw/szerotp4BrtTz5vhlF05svf7amRlMIhzqgInORzeGUlyGK6j5qFxvLker9XtrtVkoMvp0PWgIqhvU5nOM5JzLGZtTxO81fh0Jr88IS3DdRxh3Cn/ytjDHIfR6GUISwcb/8oTyEjqSoeRoat5dMIyrhctMQ=
01.team.	3600	in	ns	ns-cloud-b1.googledomains.com.
01.team.	3600	in	ns	ns-cloud-b2.googledomains.com.
01.team.	3600	in	ns	ns-cloud-b3.googledomains.com.
01.team.	3600	in	ns	ns-cloud-b4.googledomains.com.
010.team.	3600	in	ns	dns11.hichina.com.
010.team.	3600	in	ns	dns12.hichina.com.
0102.team.	3600	in	ns	autumn.ns.cloudflare.com.
0102.team.	3600	in	ns	sevki.ns.cloudflare.com.
013g40ff7dd45se9ppa8mqehul5jhf1d.team.	3600	in	nsec3	1 1 0 73 013OL9IIAVNTJ5HPACEN0T87PES7074G NS DS RRSIG
