theatre.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 235018 900 1800 6048000 3600
a.nic.theatre.	3600	in	a	194.169.218.69
a.nic.theatre.	3600	in	aaaa	2001:067c:13cc:0000:0000:0000:0001:0069
a.theatre.	3600	in	ns	nsgbr.comlaude.co.uk.
a.theatre.	3600	in	ns	nssui.comlaude.ch.
a.theatre.	3600	in	ns	nsusa.comlaude.net.
adsense.theatre.	3600	in	ns	ns1.google.com.
adsense.theatre.	3600	in	ns	ns2.google.com.
adsense.theatre.	3600	in	ns	ns3.google.com.
adsense.theatre.	3600	in	ns	ns4.google.com.
adwords.theatre.	3600	in	ns	ns1.google.com.
adwords.theatre.	3600	in	ns	ns2.google.com.
adwords.theatre.	3600	in	ns	ns3.google.com.
adwords.theatre.	3600	in	ns	ns4.google.com.
aeon.theatre.	3600	in	ns	rns1.rightsdns.com.
aeon.theatre.	3600	in	ns	rns2.rightsdns.com.
ai.theatre.	3600	in	ns	gerald.ns.cloudflare.com.
ai.theatre.	3600	in	ns	lilith.ns.cloudflare.com.
alphabet.theatre.	3600	in	ns	ns1.google.com.
alphabet.theatre.	3600	in	ns	ns2.google.com.
alphabet.theatre.	3600	in	ns	ns3.google.com.
alphabet.theatre.	3600	in	ns	ns4.google.com.
amazon.theatre.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.theatre.	3600	in	ns	nssui.comlaude.ch.
amazon.theatre.	3600	in	ns	nsusa.comlaude.net.
amc.theatre.	3600	in	ns	dns1.cscdns.net.
amc.theatre.	3600	in	ns	dns2.cscdns.net.
amphee.theatre.	3600	in	ns	grace.ns.cloudflare.com.
amphee.theatre.	3600	in	ns	sid.ns.cloudflare.com.
amphi.theatre.	3600	in	ns	grace.ns.cloudflare.com.
amphi.theatre.	3600	in	ns	sid.ns.cloudflare.com.
amphii.theatre.	3600	in	ns	grace.ns.cloudflare.com.
amphii.theatre.	3600	in	ns	sid.ns.cloudflare.com.
android.theatre.	3600	in	ns	ns1.google.com.
android.theatre.	3600	in	ns	ns2.google.com.
android.theatre.	3600	in	ns	ns3.google.com.
android.theatre.	3600	in	ns	ns4.google.com.
atg.theatre.	3600	in	ds	2371 13 2 B63D6C39C7FB88831DE07EBDFE5383DCFE8ED53E4F0E8271C6B1B6EE5A7A06BB
atg.theatre.	3600	in	ns	grace.ns.cloudflare.com.
atg.theatre.	3600	in	ns	sid.ns.cloudflare.com.
atg.theatre.	3600	in	rrsig	DS 8 2 3600 20250913001001 20250813224001 50196 theatre. eTv9mt8JmJbj0hSltz/CR8WkpnYduzrspXxp0/evkP4RNVKzMvZg0GtnfKkAaawFlb4dB0DkUZ42/G3hKnR3u0EvTG7Aqdb+11ST3EcYimiJP7DjuuVEjuXI/kFxMgDq8/z5GUfFZ/xm8Ci3mDVGGyMvVljag1fdkYf84qovCX8=
atomtickets.theatre.	3600	in	ns	dns1.idp365.net.
atomtickets.theatre.	3600	in	ns	dns2.idp365.net.
atomtickets.theatre.	3600	in	ns	dns3.idp365.net.
b.nic.theatre.	3600	in	a	185.24.64.69
b.nic.theatre.	3600	in	aaaa	2a04:2b00:13cc:0000:0000:0000:0001:0069
backdrops.theatre.	3600	in	ns	ns41.domaincontrol.com.
backdrops.theatre.	3600	in	ns	ns42.domaincontrol.com.
beacon.theatre.	3600	in	ns	ns1.markmonitor.com.
bitcoin.theatre.	3600	in	ns	gdns1.interlink.or.jp.
bitcoin.theatre.	3600	in	ns	gdns2.interlink.or.jp.
blogger.theatre.	3600	in	ns	ns1.google.com.
blogger.theatre.	3600	in	ns	ns2.google.com.
blogger.theatre.	3600	in	ns	ns3.google.com.
blogger.theatre.	3600	in	ns	ns4.google.com.
bookmy.theatre.	3600	in	ns	pdns07.domaincontrol.com.
bookmy.theatre.	3600	in	ns	pdns08.domaincontrol.com.
boutique.theatre.	3600	in	ns	ns-142-a.gandi.net.
boutique.theatre.	3600	in	ns	ns-71-c.gandi.net.
boutique.theatre.	3600	in	ns	ns-79-b.gandi.net.
boxofficemojo.theatre.	3600	in	ns	nsgbr.comlaude.co.uk.
