audio.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 1757636985 900 1800 6048000 3600
1001histoires.audio.	3600	in	ns	ns1016.ui-dns.com.
1001histoires.audio.	3600	in	ns	ns1031.ui-dns.biz.
1001histoires.audio.	3600	in	ns	ns1071.ui-dns.de.
1001histoires.audio.	3600	in	ns	ns1083.ui-dns.org.
1001histoires.audio.	900	in	nsec	101.audio. NS RRSIG NSEC
1001histoires.audio.	900	in	rrsig	NSEC 13 2 900 20251010063440 20250910050440 5894 audio. UuX0P7KiWOczrPh7SKoc4lt5hut70x1HZsyAV2WmJsenwGtYMzWADPBmZJhRSdvzfViq3qMWLgUA66En6UySQg==
101.audio.	3600	in	ns	etta.ns.cloudflare.com.
101.audio.	3600	in	ns	james.ns.cloudflare.com.
101.audio.	900	in	nsec	10k.audio. NS RRSIG NSEC
101.audio.	900	in	rrsig	NSEC 13 2 900 20251004212006 20250904195006 5894 audio. fShN6DtQT7TnLFm2VXw27bQ7IRGXlhIvTcJFUedOC1+lRtGEHF7/MXWPJoOo+XM4LDH0AHt8VLIFYytkixs6Wg==
10k.audio.	3600	in	ns	ns-cloud-a1.googledomains.com.
10k.audio.	3600	in	ns	ns-cloud-a2.googledomains.com.
10k.audio.	3600	in	ns	ns-cloud-a3.googledomains.com.
10k.audio.	3600	in	ns	ns-cloud-a4.googledomains.com.
10k.audio.	900	in	nsec	10x.audio. NS RRSIG NSEC
10k.audio.	900	in	rrsig	NSEC 13 2 900 20250925020514 20250826003514 5894 audio. OVCFpgjp68JMa+QlBYNvqQ0SJNQP3PhWhvhA4kNdeRW7qEFec+Igbr3GGz4bl24mIzsDlPciQXXUjJDtCjBbsw==
10x.audio.	3600	in	ns	curitiba.ns.porkbun.com.
10x.audio.	3600	in	ns	fortaleza.ns.porkbun.com.
10x.audio.	3600	in	ns	maceio.ns.porkbun.com.
10x.audio.	3600	in	ns	salvador.ns.porkbun.com.
10x.audio.	900	in	nsec	113records.audio. NS RRSIG NSEC
10x.audio.	900	in	rrsig	NSEC 13 2 900 20250925020514 20250826003514 5894 audio. g40/mQhf2yK45vG9lYON38SyWvWsu71As2ISSP/AUHvQYEAgU6WNLuugc029A4J+OWNXxJA05QMjJRRm7tkLQQ==
113records.audio.	3600	in	ds	33002 13 2 CCAF13D41B76B66ED8CE9197C31B5EF84AB71843758FCD0D7B03383AC39C5C1B
113records.audio.	3600	in	ns	ns01.one.com.
113records.audio.	3600	in	ns	ns02.one.com.
113records.audio.	3600	in	rrsig	DS 13 2 3600 20251010063440 20250910050440 5894 audio. o7nHoss5J2kabNYZALX1eyy/S2i/smhtKLM3aGVUz66f/MVPzVkeuoUm/l7UradW8PnPu9XUZhov8Z8GRGEPQw==
113records.audio.	900	in	nsec	1200.audio. NS DS RRSIG NSEC
113records.audio.	900	in	rrsig	NSEC 13 2 900 20251010063440 20250910050440 5894 audio. 2NBSjdhoV2qJTt62EHVv1+jfuqCgfP8OZk1RHjmMoih5jI5c4IWE11ZLiIj22zdP3icuD7tmSMxgGaAFp1GZZg==
1200.audio.	3600	in	ns	dns1.registrar-servers.com.
1200.audio.	3600	in	ns	dns2.registrar-servers.com.
1200.audio.	900	in	nsec	123b.audio. NS RRSIG NSEC
1200.audio.	900	in	rrsig	NSEC 13 2 900 20251010063440 20250910050440 5894 audio. yNzzukhwHAC9DWylbFOtQyGHmNVgmmddXzuNaowSoJ6SbwvSkyUKdy4cpI+rTjq/Tqr49mAROsZGs6/ezc2gBQ==
123b.audio.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.audio.	3600	in	ns	sandy.ns.cloudflare.com.
123b.audio.	900	in	nsec	12v.audio. NS RRSIG NSEC
123b.audio.	900	in	rrsig	NSEC 13 2 900 20251010063440 20250910050440 5894 audio. uBXwPIsZKVmfWa/DIiI56dHwtncu+4vY4FRCrFlzI+5mox9aIsypyMY65wZhDpuHal1ltbX3iDiH3I+mOyluLw==
12v.audio.	3600	in	ns	ns63.domaincontrol.com.
12v.audio.	3600	in	ns	ns64.domaincontrol.com.
12v.audio.	900	in	nsec	130db.audio. NS RRSIG NSEC
12v.audio.	900	in	rrsig	NSEC 13 2 900 20251010063440 20250910050440 5894 audio. quTaIlLSaa/PcDowh5RhI1nq0yRQmpFGA1zXQJweVazf7t9E/xBO/aYjRfRJlA8HOaHE6SHPm9kXtLi54DeVYw==
130db.audio.	3600	in	ns	ns51.domaincontrol.com.
130db.audio.	3600	in	ns	ns52.domaincontrol.com.
130db.audio.	900	in	nsec	1337.audio. NS RRSIG NSEC
