group.	3600	in	soa	v0n0.nic.group. hostmaster.donuts.email. 1757034216 7200 900 1209600 3600
00.group.	3600	in	ns	ns69.domaincontrol.com.
00.group.	3600	in	ns	ns70.domaincontrol.com.
000.group.	3600	in	ns	ns15.abovedomains.com.
000.group.	3600	in	ns	ns16.abovedomains.com.
0000.group.	3600	in	ns	ns1-show.myhostadmin.net.
0000.group.	3600	in	ns	ns2-show.myhostadmin.net.
00000000.group.	3600	in	ns	bullfrog.dnspod.net.
00000000.group.	3600	in	ns	oil.dnspod.net.
0001.group.	3600	in	ns	ns3.nic.ru.
0001.group.	3600	in	ns	ns4.nic.ru.
0001.group.	3600	in	ns	ns8.nic.ru.
00063.group.	3600	in	ns	dns29.hichina.com.
00063.group.	3600	in	ns	dns30.hichina.com.
001.group.	3600	in	ns	ns1.afternic.com.
001.group.	3600	in	ns	ns2.afternic.com.
0011.group.	3600	in	ns	ns1.xserver.jp.
0011.group.	3600	in	ns	ns2.xserver.jp.
0011.group.	3600	in	ns	ns3.xserver.jp.
0011.group.	3600	in	ns	ns4.xserver.jp.
0011.group.	3600	in	ns	ns5.xserver.jp.
002rp6vmtj0ikak8jld6312u3c2fevlb.group.	3600	in	nsec3	1 1 0 73 009PNI2OEISC649EM2DCQ1QP18FFQ79B NS DS RRSIG
002rp6vmtj0ikak8jld6312u3c2fevlb.group.	3600	in	rrsig	NSEC3 8 2 3600 20250922160807 20250901150807 28233 group. j1kbj7ox7cB+vDx7GVZFp9/X3afZH0E6WVVbxWWvUieryjsu13uh9sxSPdxGUGX4Q73yfvIeeclllcsMWLlB7F07hN7/QYGEBcg4mKfVP8aUGGI1bFIPzlhTsFD3Jq58v+KYyutCIjy8Zlmo2vHVtYk3/7F5/um3hXHOOXaT0vo=
0033.group.	3600	in	ns	ns49.domaincontrol.com.
0033.group.	3600	in	ns	ns50.domaincontrol.com.
004.group.	3600	in	ns	ns15.abovedomains.com.
004.group.	3600	in	ns	ns16.abovedomains.com.
0049.group.	3600	in	ns	docks04.rzone.de.
0049.group.	3600	in	ns	shades19.rzone.de.
007.group.	3600	in	ns	ns1.afternic.com.
007.group.	3600	in	ns	ns2.afternic.com.
007win.group.	3600	in	ns	ns55.domaincontrol.com.
007win.group.	3600	in	ns	ns56.domaincontrol.com.
008.group.	3600	in	ns	ns15.abovedomains.com.
008.group.	3600	in	ns	ns16.abovedomains.com.
009.group.	3600	in	ns	ns19.inhostedns.com.
009.group.	3600	in	ns	ns29.inhostedns.net.
009.group.	3600	in	ns	ns39.inhostedns.org.
009pni2oeisc649em2dcq1qp18ffq79b.group.	3600	in	nsec3	1 1 0 73 00BUKFB2D0CI6ECJL8PINHU6A24KCPJ8 NS DS RRSIG
